Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,18891,18847,2,231.37046487749788,1.3165000127628446,10683.424399991054,1459.8166851940077,64.23386810807632,64.08425770117593,2,3,3,3,3,5,11000,11000,11000,11000,11000
POST,/api/customer/owners,4643,4626,2,239.44218877898825,1.36749999364838,10650.016500003403,54.285591212578076,15.787298164512116,15.729494143664237,2,2,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/1,296,294,2,280.1022489871389,1.4358000189531595,10576.430399989476,149.40540540540542,1.0064700100572015,0.9996695370162744,2,3,3,3,3,6,11000,11000,11000,11000,11000
GET,/api/customer/owners/10,276,276,2,194.29462318773892,1.465399982407689,10563.695299992105,150.0,0.938465279647931,0.938465279647931,2,3,3,3,4,5,92,11000,11000,11000,11000
GET,/api/customer/owners/11,266,264,2,391.8989706766762,1.4481999969575554,10574.819300003583,149.73684210526315,0.9044629144432959,0.8976624414023688,2,3,3,3,4,8,11000,11000,11000,11000,11000
GET,/api/customer/owners/12,281,279,2,293.62236761524895,1.427199982572347,10592.235499992967,149.7508896797153,0.9554664622502487,0.9486659892093217,2,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/13,290,290,2,366.59389310285593,1.4649000077042729,10574.01799998479,150.0,0.9860685909344203,0.9860685909344203,2,3,3,3,4,6,11000,11000,11000,11000,11000
GET,/api/customer/owners/14,265,264,2,241.91989886798493,1.4633999962825328,10573.63160001114,149.8679245283019,0.9010626779228323,0.8976624414023688,2,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/15,296,296,2,323.9148709461104,1.4396999904420227,10573.89040000271,150.0,1.0064700100572015,1.0064700100572015,2,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/16,291,290,2,135.23923608320814,1.4755000011064112,10573.747300019022,149.87972508591065,0.9894688274548838,0.9860685909344203,2,3,3,3,3,5,92,11000,11000,11000,11000
GET,/api/customer/owners/17,254,254,2,168.79982795262907,1.4220000011846423,10573.458800005028,150.0,0.8636600761977337,0.8636600761977337,2,2,3,3,3,4,15,11000,11000,11000,11000
GET,/api/customer/owners/18,299,297,2,335.4258180604111,1.4402999950107187,10574.110499990638,149.76588628762542,1.016670719618592,1.009870246577665,2,3,3,3,3,7,11000,11000,11000,11000,11000
GET,/api/customer/owners/19,285,284,2,102.47980772013155,1.428099989425391,10572.97649999964,149.87719298245614,0.9690674083321027,0.9656671718116392,2,3,3,3,3,4,7,7400,11000,11000,11000
GET,/api/customer/owners/2,305,304,2,203.94891377082322,1.3641999976243824,10573.962499998743,149.21311475409837,1.037072138741373,1.0336719022209095,2,3,3,3,3,4,130,11000,11000,11000,11000
GET,/api/customer/owners/20,300,299,2,73.65628066724942,1.406499999575317,10573.897900001612,149.89666666666668,1.0200709561390555,1.016670719618592,2,3,3,3,3,4,8,110,11000,11000,11000
GET,/api/customer/owners/21,300,298,2,213.74280700004115,1.4628999924752861,10574.09639999969,149.79333333333332,1.0200709561390555,1.0132704830981285,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/22,289,289,2,148.57829307914136,1.4312000130303204,10559.86499998835,150.0,0.9826683544139568,0.9826683544139568,2,3,3,3,3,4,9,11000,11000,11000,11000
GET,/api/customer/owners/23,272,271,2,186.5111231633337,1.5238999912980944,10565.66130000283,149.8860294117647,0.924864333566077,0.9214640970456135,2,3,3,3,3,4,8,11000,11000,11000,11000
GET,/api/customer/owners/24,309,309,2,277.0009760510909,1.4691000105813146,10636.685100005707,150.0,1.050673084823227,1.050673084823227,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/25,301,299,2,248.1870694353595,1.430200005415827,10574.215100001311,149.7940199335548,1.023471192659519,1.016670719618592,2,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/26,274,273,2,349.84607664185467,1.4669999945908785,10656.147800007602,149.88686131386862,0.931664806607004,0.9282645700865405,2,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/27,295,294,2,324.8004972885394,1.4455000055022538,10597.434700001031,149.89491525423728,1.003069773536738,0.9996695370162744,2,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/28,260,260,2,327.66289038442596,1.443799992557615,10574.58729998325,150.0,0.8840614953205148,0.8840614953205148,2,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/29,281,279,2,253.85753985733007,1.4597999979741871,10574.581099994248,149.77935943060498,0.9554664622502487,0.9486659892093217,2,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/3,281,280,2,295.40986832715174,1.4367999974638224,10571.786100015743,149.50533807829183,0.9554664622502487,0.9520662257297852,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/30,279,277,2,183.05941684798282,1.5325999993365258,10570.057800010545,149.77777777777777,0.9486659892093217,0.9418655161683946,2,3,3,3,3,4,32,11000,11000,11000,11000
GET,/api/customer/owners/31,304,303,2,233.9701513157802,1.4507999876514077,10573.515600000974,149.89802631578948,1.0336719022209095,1.030271665700446,2,2,3,3,3,4,7100,11000,11000,11000,11000
GET,/api/customer/owners/32,293,289,2,312.9125597262747,1.4561999996658415,10667.699000012362,149.5767918088737,0.9962693004958109,0.9826683544139568,2,3,3,3,3,7,11000,11000,11000,11000,11000
GET,/api/customer/owners/33,324,324,2,199.089721913351,1.429600000847131,10576.463099976536,150.0,1.10167663263018,1.10167663263018,2,3,3,3,4,5,99,11000,11000,11000,11000
GET,/api/customer/owners/34,287,286,2,372.00408397237965,1.4725000073667616,10593.505099997856,149.89198606271776,0.9758678813730298,0.9724676448525663,2,3,3,3,4,8,11000,11000,11000,11000,11000
GET,/api/customer/owners/35,298,295,2,275.4010104018751,1.4330999983940274,10592.970899975626,149.68791946308724,1.0132704830981285,1.003069773536738,2,3,3,3,4,6,11000,11000,11000,11000,11000
GET,/api/customer/owners/36,269,269,2,277.69349553824844,1.4484000275842845,10604.424699995434,150.0,0.9146636240046865,0.9146636240046865,2,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/37,299,296,2,276.6703428096297,1.4682000037282705,10680.283099994995,149.68896321070235,1.016670719618592,1.0064700100572015,2,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/38,275,274,2,156.3585760004141,1.472600008128211,10564.698400005,149.88727272727272,0.9350650431274675,0.931664806607004,2,3,3,3,3,5,8,11000,11000,11000,11000
GET,/api/customer/owners/39,250,249,2,87.04687280126382,1.4104000001680106,10553.983099991456,149.876,0.8500591301158796,0.8466588935954161,2,3,3,3,3,4,9,48,11000,11000,11000
GET,/api/customer/owners/4,329,327,2,99.08928905753844,1.4232000103220344,10573.651299986523,149.35866261398175,1.1186778152324977,1.1118773421915704,2,3,3,3,3,5,8,84,11000,11000,11000
GET,/api/customer/owners/40,294,294,2,182.19191020356212,1.4637999993283302,10567.376199993305,150.0,0.9996695370162744,0.9996695370162744,2,3,3,3,3,4,58,11000,11000,11000,11000
GET,/api/customer/owners/41,315,315,2,136.5321031736491,1.436999998986721,10567.943700007163,150.0,1.0710745039460083,1.0710745039460083,2,3,3,3,3,4,7,11000,11000,11000,11000
GET,/api/customer/owners/42,295,294,2,279.7927125423192,1.420300017343834,10573.957499989774,149.89491525423728,1.003069773536738,0.9996695370162744,2,3,3,3,3,4,11000,11000,11000,11000,11000
